Source,Target,Nb_tokens,Ratio,Interrogation,Exclamation,Egocentric,You
Rick,Morty,10607,0.44269616026711184,0.015272932968794192,0.01979824644102951,0.28151220891863865,0.04440463844630904
Rick,Beth,670,0.027963272120200333,0.01791044776119403,0.005970149253731343,0.25522388059701495,0.04029850746268657
Rick,Jerry,1303,0.05438230383973289,0.024558710667689946,0.013046815042210284,0.2977743668457406,0.05525709900230238
Rick,Summer,627,0.026168614357262105,0.007974481658692184,0.030303030303030304,0.3141945773524721,0.03668261562998405
Morty,Rick,4298,0.38252046991812033,0.03373662168450442,0.03932061423918101,0.3338762214983713,0.04769660307119591
Morty,Summer,619,0.05509077963688145,0.012924071082390954,0.035541195476575124,0.3198707592891761,0.051696284329563816
Beth,Morty,276,0.0738362760834671,0.03260869565217391,0.0036231884057971015,0.30434782608695654,0.050724637681159424
Beth,Jerry,674,0.1803103263777421,0.020771513353115726,0.01483679525222552,0.28635014836795253,0.05192878338278932
Beth,Summer,175,0.04681647940074907,0.017142857142857144,0.022857142857142857,0.3142857142857143,0.05142857142857143
Jerry,Rick,473,0.07903091060985798,0.02959830866807611,0.016913319238900635,0.321353065539112,0.0613107822410148
Jerry,Morty,347,0.05797827903091061,0.008645533141210375,0.023054755043227664,0.2737752161383285,0.05763688760806916
Jerry,Beth,473,0.07903091060985798,0.016913319238900635,0.023255813953488372,0.33403805496828753,0.042283298097251586
Summer,Rick,440,0.11875843454790823,0.031818181818181815,0.03409090909090909,0.30454545454545456,0.04772727272727273
Summer,Morty,259,0.0699055330634278,0.011583011583011582,0.05019305019305019,0.277992277992278,0.05019305019305019
